player_id,ff_ba
607074,0.213
669302,0.259
663474,0.203
543037,0.221
601713,0.236
664299,0.183
675911,0.201
657746,0.174
664353,0.243
592332,0.333
592662,0.224
628711,0.189
608337,0.283
434378,0.194
668678,0.165
656629,0.189
641154,0.254
677651,0.281
605483,0.255
668881,0.26
663460,0.348
657006,0.313
605540,0.184
641482,0.157
450203,0.257
621076,0.257
594835,0.249
641816,0.205
641778,0.193
656302,0.24
592351,0.275
669467,0.293
666201,0.211
500779,0.215
608331,0.25
663738,0.305
669432,0.312
669456,0.292
608344,0.222
543475,0.286
592791,0.257
554430,0.212
669923,0.221
502179,0.286
680686,0.304
543606,0.272
453286,0.212
666120,0.306
518876,0.21
672282,0.232
680694,0.321
605400,0.196
641745,0.25
592866,0.243
623167,0.301
663556,0.244
605164,0.258
624522,0.253
571945,0.213
669169,0.277
608566,0.313
656271,0.196
622608,0.4
668676,0.306
542881,0.262
672851,0.288
621244,0.349
656876,0.229
518516,0.326
621368,0.198
645261,0.235
672710,0.276
621363,0.218
669022,0.232
596295,0.376
656605,0.271
669952,0.299
471911,0.331
458681,0.203
605397,0.222
660271,0.281
608723,0.275
664062,0.261
453178,0.238
579328,0.252
506433,0.17
622491,0.151
608718,0.307
622663,0.186
477132,0.212
605488,0.209
501985,0.321
571760,0.228
571800,0.297
657093,0.268
593423,0.274
605182,0.252
605218,0.229
608379,0.287
425844,0.294
592858,0.248
643511,0.265
592836,0.268
642547,0.211
543135,0.306
608032,0.22
518886,0.259
656849,0.28
548389,0.237
663455,0.252
607536,0.279
669330,0.258
676664,0.318
663372,0.336
448179,0.318
521230,0.248
641329,0.239
592826,0.197
669211,0.238
664747,0.127
669395,0.231
625643,0.239
665152,0.216
641360,0.255
681911,0.164
676684,0.313
641729,0.248
689225,0.252
660761,0.323
664854,0.15
666159,0.198
554431,0.174
519326,0.243
608349,0.192
650671,0.179
663559,0.212
502202,0.185
621345,0.152
459429,0.288
656793,0.3
663776,0.372
592773,0.168
642585,0.202
657248,0.264
608328,0.209
640462,0.217
543243,0.252
571710,0.287
519043,0.179
592716,0.234
669212,0.205
656458,0.284
623149,0.144
554340,0.127
593958,0.239
519293,0.299
641941,0.218
607259,0.351
656657,0.303
663436,0.312
624133,0.346
656756,0.276
670950,0.273
656412,0.352
660853,0.229
501381,0.348
456713,0.19
596112,0.386
573204,0.245
622694,0.337
657140,0.35
456501,0.198
640451,0.202
676265,0.188
676714,0.214
666157,0.21
502042,0.311
605135,0.231
605447,0.163
592761,0.231
656222,0.194
672578,0.366
643256,0.19
656970,0.252
608717,0.384
614179,0.298
669060,0.303
664208,0.253
674072,0.271
670124,0.289
670280,0.245
518617,0.224
617228,0.298
661395,0.252
676710,0.316
680739,0.351
656546,0.237
571578,0.35
606160,0.191
518489,0.32
682051,0.239
656730,0.296
605154,0.218
656354,0.256
669373,0.265
675916,0.133
606424,0.245
621051,0.233
656731,0.298
670912,0.272
594798,0.208
641712,0.277
681806,0.136
661383,0.242
606149,0.208
663986,0.326
596133,0.322
594577,0.207
593576,0.207
641582,0.232
657024,0.185
667427,0.165
670970,0.215
682171,0.247
665621,0.222
642758,0.247
670036,0.179
641927,0.256
621074,0.222
661269,0.316
547179,0.25
607179,0.244
650556,0.287
606625,0.235
600921,0.322
672335,0.221
675921,0.289
657571,0.175
666200,0.207
642397,0.195
686752,0.194
642207,0.09
455119,0.146
669276,0.202
596057,0.227
641793,0.265
656353,0.301
656529,0.295
656427,0.319
518553,0.127
621111,0.368
622098,0.24
607625,0.171
641302,0.224
621383,0.162
543294,0.234
571656,0.197
669424,0.25
664199,0.296
622251,0.172
672391,0.321
571479,0.265
592789,0.316
656945,0.231
686610,0.311
663432,0.233
542888,0.197
607216,0.23
670167,0.178
608678,0.342
656464,0.279
666214,0.209
605507,0.225
666142,0.388
628452,0.192
598287,0.197
598264,0.238
666374,0.379
475479,0.197
660730,0.354
595881,0.348
656794,0.222
669674,0.303
593334,0.319
623451,0.209
650893,0.25
675627,0.268
662253,0.338
666721,0.309
643377,0.258
600917,0.298
663158,0.226
659262,0.196
642121,0.292
663558,0.27
643493,0.29
657265,0.224
676760,0.115
502043,0.231
663423,0.345
657508,0.375
621242,0.266
425794,0.281
668868,0.172
659275,0.352
622554,0.161
656557,0.246
643290,0.25
666129,0.25
572193,0.259
669145,0.435
547973,0.216
608648,0.288
605288,0.233
642545,0.27
595345,0.263
543272,0.222
543238,0.288
456034,0.217
592094,0.211
663485,0.231
628708,0.236
669270,0.25
605194,0.231
607237,0.196
605130,0.304
605521,0.333
605177,0.241
545343,0.353
621381,0.143
669461,0.364
664139,0.18
543507,0.327
676194,0.26
664161,0.3
570666,0.173
657240,0.423
656686,0.286
641401,0.314
666818,0.349
642203,0.236
592804,0.213
666204,0.308
592390,0.34
544727,0.26
642152,0.34
519151,0.292
570663,0.239
592741,0.3
642130,0.25
571670,0.148
606303,0.234
643410,0.348
605525,0.227
623485,0.283
677053,0.381
668948,0.289
664126,0.118
640444,0.178
622503,0.244
641627,0.17
621112,0.196
622250,0.311
663989,0.341
664294,0.19
621107,0.191
661527,0.214
650633,0.222
657612,0.116
606930,0.256
669194,0.111
621295,0.295
641755,0.268
642028,0.175
676886,0.244
681217,0.333
663574,0.35
643338,0.286
503449,0.242
623465,0.105
669459,0.135
670090,0.167
678394,0.378
663978,0.244
573186,0.22
665665,0.324
657756,0.425
669358,0.289
682847,0.114
543339,0.237
572070,0.405
686973,0.231
656420,0.051
663752,0.371
657376,0.359
670174,0.278
676050,0.333
608716,0.333
542585,0.179
663378,0.343
503285,0.189
670810,0.297
663465,0.278
672715,0.364
501925,0.2
665795,0.182
605242,0.29
660906,0.387
547943,0.333
668665,0.156
657770,0.333
656986,0.438
686753,0.235
664076,0.219
596071,0.229
657272,0.259
592717,0.303
607455,0.452
434671,0.212
656257,0.212
669618,0.233
641871,0.294
663804,0.429
665871,0.281
527048,0.194
656803,0.355
665645,0.31
680704,0.161
650204,0.313
686613,0.167
676641,0.267
666205,0.29
664337,0.444
664948,0.345
676831,0.3
664285,0.227
656457,0.286
547001,0.222
608665,0.138
669084,0.25
517008,0.529
623211,0.304
675540,0.409
518748,0.435
669912,0.143
657424,0.13
664054,0.37
664141,0.417
656685,0.25
542914,0.25
572125,0.261
650644,0.346
669160,0.238
570632,0.292
661255,0.435
672911,0.286
446321,0.261
657277,0.167
669935,0.474
621249,0.25
606965,0.435
663765,0.208
669713,0.12
621593,0.5
502624,0.2
667297,0.238
672582,0.261
641394,0.353
677161,0.174
663554,0.273
670990,0.25
608652,0.286
657585,0.286
670329,0.182
665896,0.273
657044,0.087
605151,0.286
493603,0.429
592346,0.286
656818,0.2
668338,0.333
644429,0.278
656061,0.385
544365,0.167
643316,0.158
683769,0.45
572403,0.5
543056,0.188
650382,0.357
664202,0.059
656887,0.25
676720,0.462
489119,0.118
671345,0.353
663629,0.25
641447,0.45
642701,0
621219,0.333
572703,0.188
667498,0.105
527055,0.2
543548,0.176
593619,0.467
656232,0.278
656578,0.375
664123,0.176
572955,0.313
468504,0.308
660813,0.267
686972,0.333
675912,0.333
541640,0.25
681885,0.5
670046,0.286
657649,0.125
671790,0.267
607457,0.286
668684,0.231
571948,0.286
676083,0.2
663753,0.2
573668,0.286
592848,0.286
646242,0.385
667376,0.231
489446,0.308
570257,0.25
656322,0.333
670426,0.333
650959,0.333
664042,0.308
660825,0.286
621248,0.5
660623,0.417
676879,0.308
621114,0.2
571510,0.231
668941,0.214
669093,0.455
605446,0.154
622075,0
681810,0.286
615698,0.333
664944,0.333
542947,0.133
448281,0.067
608371,0.375
606273,0.25
674681,0.462
518585,0.2
681464,0.4
571946,0.154
644364,0.231
676103,0.1
658431,0.333
663734,0.154
664584,0.417
676974,0.333
657053,0.222
676130,0.455
607644,0.25
663531,0.5
572971,0.538
641907,0.333
642100,0.455
641726,0.231
676637,0.455
677960,0.444
660593,0.25
528748,0.286
660600,0.222
672839,0.333
640470,0.182
680573,0.2
663947,0.4
642770,0.083
607192,0.273
667373,0
673316,0.273
592454,0.286
656814,0.111
641682,0.1
605347,0.286
641501,0.333
669854,0.444
596271,0.3
446372,0.273
607359,0.143
667725,0.111
641672,0.5
571917,0
656492,0.167
595939,0.5
623474,0.2
605463,0.25
643230,0.5
543101,0.444
605156,0.125
552640,0.375
668820,0.167
641771,0.333
650895,0.125
642659,0.286
592169,0.111
668970,0.375
622103,0.333
668873,0.167
655889,0
656638,0.286
666619,0.286
658551,0
594311,0.333
661563,0.333
656786,0.2
596043,0.286
656290,0.125
650960,0.333
643361,0.375
670059,0.429
669920,0.143
656008,0.6
458677,0
642060,0.5
664871,0.333
676477,0.143
678692,0.4
676917,0.286
643400,0.333
453268,0.286
641743,0.2
611093,0.143
678061,0
658648,0.333
682016,0.4
595191,0.75
592473,0.6
676766,0
571882,0.4
453343,0.5
622766,0
621082,0
593974,0.333
661403,0.5
642239,0.167
520980,0
596082,0
649144,0.4
607572,0
593140,0.333
642068,0.5
669711,0
571704,0.333
571863,0.25
605538,0.2
571439,0.5
544931,0.25
657745,0.333
488984,0.5
622253,0.333
523260,0.333
518813,0.5
621079,0.25
573009,0.25
622065,0.25
547184,0.333
622786,0
472610,1
663975,0.5
641656,0.25
657766,0.667
688010,0
543351,0.333
461325,0.333
596001,0
663534,0.5
673258,0
685503,0.667
642546,0.667
664942,0.5
669203,0.5
676617,0.333
519242,0.333
656954,0
445926,0
608638,0.5
572362,0
683232,0
660787,0.5
425877,0
489265,0.5
670102,0
657697,0
621237,0
572383,1
501625,0.5
613534,0
595014,0
605195,0
663903,0
650496,
669214,0.5
592712,1
642657,0.5
676206,1
572191,0
676092,0
666168,1
643615,
641312,
668834,0
663855,0
642528,0
548384,0
605280,0
666974,1
630023,0
670955,0
424144,1
669622,0
571616,1
656548,
620454,1
607391,
666720,1
489334,0
661440,0
663562,
