last_name, first_name,player_id,year,pitch_hand,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z
Wainwright, Adam,425794,2022,R,88,2234,-1.4,-20.1,,,,,82.2,1765,-14.3,-32.4,72.9,2776,16.1,-67.2,88.6,2201,-13,-22.7,84.3,2411,6.3,-32.1,,,,
Greinke, Zack,425844,2022,R,89.1,2286,-2,-18.4,82.2,2435,8.1,-34.4,86.5,1644,-12.8,-32.6,72,2433,12.5,-64.4,89.3,2203,-10.8,-23,85.8,2377,6.7,-30.9,,,,
Verlander, Justin,434378,2022,R,95,2423,-9.5,-11.4,87.4,2465,4,-31,86.2,1756,-15.7,-26.5,79,2643,6.9,-55.3,,,,,,,,,,,,
Sanchez, Anibal,434671,2022,R,89.9,2065,-3.7,-17.1,83.2,2174,5.1,-34.6,79.9,1470,-13.4,-35.3,75.4,1953,3,-51.1,89.1,1926,-12.3,-21,87.3,2095,0.2,-23.5,,,,
Jansen, Kenley,445276,2022,R,,,,,81.2,2459,4.6,-47.4,,,,,,,,,93.6,2231,-4.6,-11.8,92.2,2567,8.4,-15.8,,,,
Chavez, Jesse,445926,2022,R,90.6,2056,-11.7,-20.5,,,,,85.5,1826,-15.8,-35.7,76.9,2512,15,-51,91.2,1974,-16.5,-25.6,89.1,2223,-1.9,-21.5,,,,
Detwiler, Ross,446321,2022,L,92.4,2243,8.8,-15,,,,,86.8,1468,12.8,-29.9,77,2141,-6.2,-56,91.8,2072,15.4,-22.2,86,2150,-2.3,-32.5,,,,
Kluber, Corey,446372,2022,R,88.9,2271,-6.3,-20.2,,,,,82.9,1653,-13.6,-33.7,80.7,2526,16.5,-41,88.9,2075,-16.3,-26.1,86.3,2463,2.9,-28.1,,,,
Hill, Rich,448179,2022,L,88.5,2252,8.2,-16.4,69.2,2531,-22.7,-56.5,82.7,1875,15.6,-33.3,71.9,2636,-17.8,-67.5,86.1,2145,17.3,-26.8,84.2,2273,-1.9,-29.6,,,,
Morton, Charlie,450203,2022,R,94.9,2374,-10.5,-17.8,,,,,87.2,2154,-17.6,-34.5,81.3,3068,15.5,-51.1,94.7,2192,-17.1,-25.4,88.4,2551,1.8,-29.7,,,,
Kennedy, Ian,453178,2022,R,93.4,2447,-10.4,-14.1,,,,,85.7,1224,-8.4,-29,79.6,2555,8.3,-50.5,,,,,85.8,2010,3.1,-33.2,,,,
Bard, Daniel,453268,2022,R,97.8,2634,-6.3,-16.4,88.4,2775,7.5,-32.6,90.2,2264,-16,-27.1,,,,,98,2507,-14.5,-21.4,,,,,,,,
Scherzer, Max,453286,2022,R,94,2387,-11.1,-15,85,2303,3.2,-34.7,84.1,1399,-14.9,-34.9,75,2764,16.6,-58.4,,,,,89.2,2391,0.3,-25.9,,,,
Melancon, Mark,453343,2022,R,91.7,2324,-8.4,-20.5,84.1,2314,2.5,-35.8,,,,,81.7,2587,4.6,-55.7,,,,,90.9,2266,1,-23.6,83.7,1831,-12.2,-28.3
Martin, Chris,455119,2022,R,95.3,2182,-7.7,-15.9,84.1,2422,13.1,-40.3,,,,,83.9,2577,7.5,-50.2,94.6,2068,-14.3,-19.7,91.7,2158,2.4,-26.1,88.4,1507,-12.4,-31.7
Price, David,456034,2022,L,92.1,1888,10.6,-20.2,,,,,83.9,1627,14.6,-33.2,78.4,2224,-8.4,-47.8,92.4,1888,15.1,-22.2,87.9,1954,0,-27.7,,,,
Cueto, Johnny,456501,2022,R,91.4,2189,-12.1,-17.8,83.5,2237,2.7,-33.7,82.6,1326,-12.2,-36,69.9,2095,3.5,-57,91.4,2112,-16.8,-23.5,86.9,2177,-3.3,-26.1,,,,
Bush, Matt,456713,2022,R,97.3,2525,-6.7,-10.1,,,,,,,,,81,2480,8.4,-51.8,,,,,92.9,2617,2.2,-22.2,,,,
Lynn, Lance,458681,2022,R,93,2443,-3.7,-18.3,86.6,2555,3.6,-33.5,85.8,1864,-11.8,-31.6,82,2497,10.4,-42.2,91.5,2317,-10.9,-25.8,89,2608,2.2,-29,,,,
McGee, Jake,459429,2022,L,94.4,2079,11.7,-15.8,85.2,1842,-1.1,-31.6,,,,,,,,,,,,,,,,,,,,
Chacin, Jhoulys,468504,2022,R,92.6,2379,-3.1,-18.4,87,2630,4.1,-31.2,85.4,1469,-5.9,-32.8,79.8,2564,14.7,-43.9,92.9,2304,-11.6,-22.1,,,,,,,,
Carrasco, Carlos,471911,2022,R,93.2,2283,-7.5,-17.5,84.9,2457,2.3,-35.6,87.4,1308,-8.2,-34.6,81.1,2645,7.3,-46.4,91.9,2163,-16.2,-24.9,,,,,,,,
Garcia, Luis,472610,2022,R,97.4,2247,-5,-19.7,82.7,2482,12.1,-38.3,,,,,,,,,98.7,2142,-14.8,-18.3,,,,,88.8,1098,-9,-31
Phelps, David,475479,2022,R,93.2,2359,-8.7,-13.6,,,,,86.5,2171,-18,-28.3,81.7,2532,3.4,-48.4,93.2,2230,-15.5,-18.1,89.8,2421,0.8,-19.7,,,,
Luetge, Lucas,476595,2022,L,,,,,77.4,2691,-19.3,-47.5,,,,,73.5,2428,-10.3,-66.4,,,,,87.6,2591,-5.1,-29.1,,,,
Kershaw, Clayton,477132,2022,L,90.7,2408,-0.5,-14.7,86.6,2577,-5.4,-29.8,83.8,2126,12.5,-23.3,73.2,2395,-4.9,-66.9,90.8,2390,8,-14.5,,,,,,,,
Miley, Wade,489119,2022,L,89.1,2263,3.3,-16.7,,2345,-11.1,-40.2,81.4,1835,16.1,-34.6,73.5,2438,-9.5,-62.5,88.3,2080,13,-20.8,85.1,2284,-2.9,-29.7,,,,
Stammen, Craig,489334,2022,R,91,2296,-6.6,-22.5,78.6,2382,10.9,-43.5,86.9,1703,-14.9,-27.4,79.6,2321,8,-53.5,91.4,2210,-14.2,-22.1,87.8,2315,1.4,-27.6,,,,
Ottavino, Adam,493603,2022,R,94.8,2351,-8.2,-16.6,77,2700,17.7,-40.1,89.1,2080,-16.5,-33.3,,,,,94.2,2253,-16.4,-24.7,87.8,2564,3.4,-29.4,,,,
Quintana, Jose,500779,2022,L,91.2,2077,2.4,-17.7,81.5,,,,86.4,1319,11.7,-30.8,78.4,2261,-7.9,-51.2,91.4,2070,12.6,-19.7,,,,,,,,
Pineda, Michael,501381,2022,R,89.9,1934,-5.5,-19.8,81,1933,0.6,-41.2,85.3,1713,-15,-29.1,,,,,,,,,,,,,,,,
Smith, Joe,501925,2022,R,86,2053,-17.3,-32.2,,2223,13.7,-37.3,,,,,,,,,83.6,1895,-14.3,-48.3,,,,,,,,
Minor, Mike,501985,2022,L,90.4,2472,3.9,-19.2,80.7,2699,-3.5,-33.7,84.2,2175,16.7,-28.8,79.2,2437,-7.1,-55,89.9,2567,13.8,-22.4,,,,,,,,
Archer, Chris,502042,2022,R,93,2174,-6.4,-13.1,80.3,2464,5.2,-30.5,87,1705,-13,-26.9,81.7,2459,5,-46.6,,,,,,,,,,,,
Gibson, Kyle,502043,2022,R,92,2279,-6.3,-16.4,76.9,2509,5.1,-40.2,84.6,1621,-14.8,-34.6,79,2468,7.3,-52.7,91.6,2133,-14.5,-25.4,89.4,2359,0.8,-24.8,,,,
Robertson, David,502085,2022,R,,,,,85.4,2651,8.6,-38.3,,,,,84.7,2640,7.3,-49.5,,,,,93,2611,0.7,-14.5,,,,
Cobb, Alex,502171,2022,R,95.5,2251,-7.9,-14,88.7,,,,,,,,83.8,2610,5.9,-51.9,94.8,2091,-15.8,-21.4,,,,,89.6,1578,-13,-32.2
Espino, Paolo,502179,2022,R,88.5,2228,-2.8,-15.9,83.3,2738,18.7,-44.2,83.6,1421,-12.3,-34.1,71.3,3006,13.1,-73.2,,,,,,,,,,,,
Boxberger, Brad,502202,2022,R,92.7,2385,-6,-14.5,83.9,2461,7,-29.2,81.2,1332,-11.2,-35.9,,,,,,,,,,,,,,,,
Anderson, Chase,502624,2022,R,91.9,2163,-6.8,-14.7,,2298,8.1,-33.2,82.9,2274,-16.6,-26,77.8,2201,6.1,-61.8,92.5,2165,-11.9,-16.5,90.2,2326,0.9,-18,,,,
Peralta, Wily,503449,2022,R,95.4,1944,-7.1,-13.7,77.7,2257,1.8,-38.6,,,,,,,,,95.5,1876,-11.9,-15.7,,,,,82.6,1165,-11.3,-31.9
Darvish, Yu,506433,2022,R,95,2420,-7.1,-13.5,87.3,2737,15,-42.6,,,,,72.7,2632,11.4,-67.2,94.7,2275,-14,-18.9,86.5,2755,5.2,-35.3,89.2,1309,-6.2,-29.4
Colome, Alex,517008,2022,R,94.5,2125,-2.4,-14.4,83.6,,,,,,,,,,,,,,,,90.8,2153,1.8,-26.5,,,,
Brasier, Ryan,518489,2022,R,95.9,2270,-7.1,-13.2,78.2,2469,6.4,-38,88.1,1340,-13.2,-25.5,,,,,96.1,2230,-15.7,-18.7,,,,,,,,
Bumgarner, Madison,518516,2022,L,91.2,2203,8,-17.8,83.6,2205,-5.8,-39.7,85.5,1480,13,-29.6,78.6,2304,-9.2,-47.1,91.2,2035,15.2,-20.2,87.4,2295,-2.9,-27.7,,,,
Cishek, Steve,518553,2022,R,89.3,2381,-12.1,-23.1,82.3,2275,16.2,-52.2,83.1,2013,-19.1,-38.3,,,,,89.8,2285,-17.7,-29.3,,,,,,,,
Diekman, Jake,518617,2022,L,95.6,2284,15.9,-17.6,,2850,-16,-40.3,86.4,1511,14.3,-32.9,,,,,95.3,2174,17.8,-22.5,,,,,,,,
Kelly, Merrill,518876,2022,R,92.6,2358,-8.1,-16.6,83.9,2416,1.8,-34.5,88.6,2160,-16.6,-32.3,82.2,2549,9.1,-50.9,92.6,2206,-16.1,-24.4,90.9,2338,-1.6,-20.1,,,,
Kimbrel, Craig,518886,2022,R,95.8,2264,-10.4,-15.4,85.5,,,,,,,,85.7,2542,10.2,-44,,,,,,,,,,,,
McFarland, T.J.,519008,2022,L,,,,,83.3,2258,-4.8,-46.4,81.8,1623,14.9,-40.5,,,,,88.8,1940,17.2,-34.2,,,,,,,,
Moore, Matt,519043,2022,L,93.9,2385,9.1,-13.2,76.5,,,,85,2020,17,-29.4,83.6,2434,-4.1,-50.2,,,,,,,,,,,,
Pressly, Ryan,519151,2022,R,94.5,2512,-3.2,-12.7,86.7,2729,5.1,-31,89.1,1974,-14.7,-30.7,81,3272,14.8,-56.2,,,,,,,,,,,,
Smith, Will,519293,2022,L,92.1,2179,8.6,-15.4,81.4,2259,-4.8,-38.5,87.4,2050,14.1,-24.2,76.9,1883,-8.9,-54.6,,,,,,,,,,,,
Strickland, Hunter,519326,2022,R,95,2352,-5,-16.9,81.7,2814,8.5,-39.4,89.8,1773,-13.4,-25.6,,,,,94.3,2236,-12.7,-20.6,,,,,,,,
Hendriks, Liam,521230,2022,R,97.6,2398,-6,-10.1,85,2201,2.5,-30.7,,,,,85.8,2189,3.2,-47.6,,,,,,,,,,,,
Kelly, Joe,523260,2022,R,97.1,2199,-10.1,-18.1,,,,,87.1,2045,-17.1,-30.1,88.1,2880,8.5,-43.1,97.9,2178,-15.2,-18.2,,,,,,,,
Perez, Martin,527048,2022,L,92.7,2055,10.9,-17.4,79.5,2397,-3.7,-32.8,84.4,1661,14.2,-29.6,78.8,2515,-6.3,-49,92.6,1997,16.4,-21.8,89.8,2215,1.1,-21.6,,,,
Castellanos, Humberto,528748,2022,R,89.4,2139,-6.5,-22.6,,2073,1.6,-29.2,84,1410,-15.2,-35.8,76.5,2406,11.7,-54,90.4,2030,-16.1,-31.3,,,,,,,,
Ramirez, Erasmo,541640,2022,R,93.7,2191,-8.2,-16.5,89.7,,,,85.4,1657,-12.9,-30.8,80.6,2562,7.2,-46.7,93.1,2206,-15.4,-24.8,89.2,2385,1.6,-25.3,,,,
Cisnero, Jose,542585,2022,R,95.5,2452,-11.2,-14.5,81.7,2566,5.4,-37,89.6,1756,-15.5,-27.3,,,,,95.1,2252,-16.2,-20.6,,,,,,,,
Anderson, Tyler,542881,2022,L,90.7,2231,7.5,-15.3,84.8,,,,79,1848,13.3,-34.8,73.2,2141,-2,-59.2,89,2227,17.2,-28,85.7,2421,-2.5,-27.2,,,,
Armstrong, Shawn,542888,2022,R,95.3,2302,-5.2,-14.2,89,2518,10.1,-38.9,,,,,,,,,95.6,2151,-15.5,-18.6,92.3,2460,4.7,-23.9,,,,
Bass, Anthony,542914,2022,R,95,2022,-6.4,-13.5,,2221,4.7,-38,,,,,,,,,95.4,1990,-13.7,-16.2,,,,,86.7,1289,-10.4,-26.5
Bleier, Richard,542947,2022,L,90.7,2103,7.1,-21.2,84.4,2017,-8.8,-48.3,82.9,1533,15.9,-35.1,,,,,89.8,2039,15.5,-30.6,87.3,1995,-0.9,-29.6,,,,
Cole, Gerrit,543037,2022,R,97.8,2428,-10.4,-10.5,86.2,2569,5,-34.2,89.7,1616,-14,-24.7,83,2779,10.2,-53,,,,,92,2485,0.5,-24.4,,,,
Eovaldi, Nathan,543135,2022,R,95.7,2128,-12.3,-15.5,,2171,6.6,-33.8,,,,,78.3,2061,9.7,-54.2,,,,,90.6,2376,1.4,-22.2,87.8,1561,-12.4,-34.1
