player_id,sl_ba
656302,0.128
592662,0.184
660271,0.159
596001,0.226
641771,0.213
669456,0.193
663903,0.237
502042,0.202
668881,0.17
607074,0.193
666201,0.19
477132,0.2
657277,0.202
434378,0.188
680686,0.189
641745,0.265
663776,0.201
664141,0.255
622072,0.254
543037,0.16
669302,0.223
656945,0.238
571945,0.239
543475,0.254
592351,0.156
571578,0.309
663738,0.273
605397,0.217
471911,0.222
656605,0.206
605154,0.299
657248,0.225
663474,0.271
506433,0.16
657006,0.136
579328,0.288
608337,0.28
571800,0.274
554430,0.204
605538,0.188
645261,0.217
662253,0.126
641712,0.228
605242,0.232
664299,0.121
672710,0.163
672282,0.222
656876,0.208
668676,0.21
601713,0.197
621242,0.114
643377,0.187
573124,0.191
502043,0.221
607536,0.257
676879,0.2
592791,0.233
642545,0.265
595345,0.151
656629,0.23
680694,0.212
605164,0.278
666129,0.22
656849,0.175
657746,0.245
675911,0.139
608566,0.265
650895,0.173
641778,0.172
669373,0.228
596295,0.217
682171,0.125
542914,0.18
453286,0.183
605483,0.169
621076,0.19
666808,0.158
621368,0.278
643511,0.216
570666,0.202
650556,0.163
605447,0.205
641540,0.202
669330,0.217
571479,0.203
669952,0.258
543521,0.15
493603,0.165
573186,0.21
607237,0.178
608331,0.239
605488,0.227
669395,0.142
605130,0.189
605135,0.226
596112,0.17
606149,0.183
622608,0.366
519293,0.186
670036,0.248
453268,0.135
668933,0.235
548389,0.212
622491,0.183
571760,0.17
664062,0.137
656353,0.25
661403,0.119
594798,0.139
623149,0.148
670912,0.216
663372,0.208
518489,0.17
518553,0.253
501985,0.289
592836,0.237
669459,0.216
640462,0.202
519326,0.242
622694,0.21
656354,0.23
518617,0.216
592789,0.218
548384,0.177
640444,0.213
622663,0.163
669211,0.196
623465,0.16
594580,0.16
605521,0.228
680739,0.186
605182,0.253
669618,0.193
592761,0.253
672335,0.182
608328,0.17
676714,0.172
643256,0.227
572193,0.191
570632,0.19
456501,0.258
667427,0.176
641360,0.2
642701,0.2
642758,0.207
543272,0.222
621051,0.125
663556,0.267
669467,0.195
502179,0.329
664875,0.193
669276,0.211
664747,0.133
606303,0.302
664161,0.212
663436,0.205
663855,0.122
664353,0.218
666374,0.175
643493,0.165
641482,0.268
676684,0.211
670174,0.25
656557,0.152
670167,0.162
644364,0.235
640455,0.21
669912,0.321
666204,0.095
669432,0.208
656412,0.243
600917,0.156
657376,0.183
657093,0.185
669203,0.16
663423,0.156
623474,0.123
622098,0.234
676092,0.247
592094,0.096
664854,0.111
659275,0.157
680704,0.176
605177,0.085
664199,0.192
660761,0.153
669060,0.24
606424,0.217
628708,0.257
641793,0.319
669424,0.2
608665,0.232
571710,0.203
665665,0.239
594577,0.29
448179,0.225
664123,0.149
621016,0.169
572070,0.232
660853,0.174
669145,0.288
625643,0.214
641927,0.188
657044,0.219
593423,0.284
592826,0.23
608678,0.188
545343,0.213
592332,0.323
519151,0.152
621383,0.286
656793,0.161
596057,0.2
641729,0.182
669270,0.328
663986,0.217
621074,0.258
476595,0.23
681911,0.23
592716,0.266
669169,0.254
472610,0.05
656257,0.263
676265,0.273
468504,0.224
676664,0.13
689225,0.288
622075,0.119
547179,0.169
612434,0.189
621121,0.185
657770,0.255
642152,0.109
571656,0.2
656458,0.157
650633,0.13
656271,0.196
573204,0.176
622253,0.236
425844,0.351
656986,0.216
681806,0.189
543135,0.345
543243,0.218
605288,0.13
669022,0.286
642547,0.196
641582,0.271
600921,0.25
670090,0.245
528748,0.235
605540,0.218
623167,0.058
677651,0.204
666159,0.24
623352,0.163
663559,0.28
521230,0.1
622554,0.216
671345,0.288
664208,0.319
608717,0.28
547973,0.22
672578,0.375
676477,0.308
641755,0.196
678394,0.277
642397,0.262
670990,0.239
502085,0.167
606625,0.213
